Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6356340,SA_0000001445,COUNTRY,NPL,YEAR,SEAR,South-East Asia,,,2002,,,,,,,2.76,2.76,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
6761042,SA_0000001445,COUNTRY,IRQ,YEAR,EMR,Eastern Mediterranean,SEX,SEX_BTSX,2004,,,,,,,1,,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9016275,SA_0000001445,COUNTRY,SYC,YEAR,AFR,Africa,SEX,SEX_FMLE,2004,,,,,,,1.7,1.7,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
265208,SA_0000001445,COUNTRY,ZWE,YEAR,AFR,Africa,SEX,SEX_MLE,2004,,,,,,,31.8,31.8,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
6192395,SA_0000001445,COUNTRY,ATG,YEAR,AMR,Americas,SEX,SEX_BTSX,2004,,,,,,,6.3,6.3,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9162257,SA_0000001445,COUNTRY,SWE,YEAR,EUR,Europe,SEX,SEX_MLE,2004,,,,,,,4.5,4.5,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
6501720,SA_0000001445,COUNTRY,BEL,YEAR,EUR,Europe,SEX,SEX_MLE,2004,,,,,,,4.6,4.6,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
6754717,SA_0000001445,COUNTRY,TJK,YEAR,EUR,Europe,,,2002,,,,,,,2.27,2.27,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1295423,SA_0000001445,COUNTRY,MNG,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2004,,,,,,,83.7,83.7,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
3199283,SA_0000001445,COUNTRY,FRA,YEAR,EUR,Europe,SEX,SEX_BTSX,2004,,,,,,,7.5,7.5,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1660107,SA_0000001445,COUNTRY,GMB,YEAR,AFR,Africa,SEX,SEX_MLE,2004,,,,,,,78.0,78.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
74698,SA_0000001445,COUNTRY,ARM,YEAR,EUR,Europe,,,2002,,,,,,,7.88,7.88,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
3084896,SA_0000001445,COUNTRY,JAM,YEAR,AMR,Americas,SEX,SEX_BTSX,2004,,,,,,,4.2,4.2,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
4899816,SA_0000001445,COUNTRY,IRN,YEAR,EMR,Eastern Mediterranean,,,2002,,,,,,,9.94,9.94,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
9010011,SA_0000001445,COUNTRY,LBR,YEAR,AFR,Africa,SEX,SEX_MLE,2004,,,,,,,16.7,16.7,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
3496348,SA_0000001445,COUNTRY,KWT,YEAR,EMR,Eastern Mediterranean,SEX,SEX_BTSX,2004,,,,,,,7.8,7.8,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9225907,SA_0000001445,COUNTRY,AGO,YEAR,AFR,Africa,,,2002,,,,,,,9.51,9.51,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
8391931,SA_0000001445,COUNTRY,VEN,YEAR,AMR,Americas,SEX,SEX_FMLE,2004,,,,,,,4.4,4.4,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
7387089,SA_0000001445,COUNTRY,THA,YEAR,SEAR,South-East Asia,SEX,SEX_MLE,2004,,,,,,,42.0,42.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9149629,SA_0000001445,COUNTRY,KEN,YEAR,AFR,Africa,,,2002,,,,,,,11.59,11.59,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
4085217,SA_0000001445,COUNTRY,SLV,YEAR,AMR,Americas,,,2002,,,,,,,6.14,6.14,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
8125705,SA_0000001445,COUNTRY,MHL,YEAR,WPR,Western Pacific,SEX,SEX_MLE,2004,,,,,,,19.8,19.8,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
5864864,SA_0000001445,COUNTRY,NLD,YEAR,EUR,Europe,SEX,SEX_BTSX,2004,,,,,,,2.3,2.3,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
